Patron,YR,YD,Error
1,64.650935,91.1,26.449065
2,66.199965,90.3,24.100035
3,64.378733,81.9,17.521267
4,63.308048,32.3,-31.008048
5,68.908581,50.6,-18.308581
6,65.401074,38.3,-27.101074
7,64.554982,89.4,24.845018
8,64.831136,48.6,-16.231136
9,64.665245,85.3,20.634755
10,54.947227,44.0,-10.947227
11,69.272436,60.3,-8.972436
12,68.577746,32.0,-36.577746
13,67.760693,82.7,14.939307
14,66.212521,54.1,-12.112521
15,73.958568,83.5,9.541432
16,69.897691,75.2,5.302309
17,57.540354,92.6,35.059646
18,70.475566,57.8,-12.675566
