Patron,YR,YD,Error
1,8.91654,9.0,0.08346
2,12.13255,11.9,-0.23255
3,12.382584,12.65,0.267416
4,12.279725,12.38,0.100275
5,11.60863,11.25,-0.35863
6,11.60863,11.25,-0.35863
7,11.089091,10.75,-0.339091
8,14.126334,14.47,0.343666
9,10.873802,10.52,-0.353802
10,12.844329,13.35,0.505671
11,12.561499,13.08,0.518501
12,7.861766,8.62,0.758234
13,9.365658,9.53,0.164342
14,11.402241,10.9,-0.502241
15,10.17296,10.05,-0.12296
16,13.217623,13.58,0.362377
17,13.614888,13.75,0.135112
18,12.588402,12.6,0.011598
