Patron,YR,YD,Error
1,8.419591,9.0,0.580409
2,11.90677,11.9,-0.00677
3,12.54477,12.65,0.10523
4,12.184567,12.38,0.195433
5,11.311828,11.25,-0.061828
6,11.311828,11.25,-0.061828
7,11.03434,10.75,-0.28434
8,14.502352,14.47,-0.032352
9,10.790782,10.52,-0.270782
10,13.302199,13.35,0.047801
11,12.817024,13.08,0.262976
12,8.254346,8.62,0.365654
13,9.724045,9.53,-0.194045
14,10.977343,10.9,-0.077343
15,10.422376,10.05,-0.372376
16,13.524535,13.58,0.055465
17,13.644867,13.75,0.105133
18,12.727295,12.6,-0.127295
