Patron,YR,YD,Error
1,8.46589,9.0,0.53411
2,11.948244,11.9,-0.048244
3,12.386127,12.65,0.263873
4,12.288977,12.38,0.091023
5,11.513802,11.25,-0.263802
6,11.513802,11.25,-0.263802
7,11.153103,10.75,-0.403103
8,14.348827,14.47,0.121173
9,10.854676,10.52,-0.334676
10,12.954396,13.35,0.395604
11,12.679938,13.08,0.400062
12,8.179261,8.62,0.440739
13,9.648672,9.53,-0.118672
14,11.102163,10.9,-0.202163
15,10.383534,10.05,-0.333534
16,13.248993,13.58,0.331007
17,13.545899,13.75,0.204101
18,12.44349,12.6,0.15651
